idx,pop,חנויות ספרים,מספרות ועיצוב שיער,ציפורניים - בנייה וטיפוח
1.0,53500.0,6,66,22
2.0,34600.0,1,2,1
3.0,234700.0,17,101,43
,119300.0,0,21,8
5.0,912700.0,45,367,111
6.0,1532800.0,85,772,279
7.0,1164900.0,66,654,193
8.0,877900.0,78,659,218
4.0,895500.0,24,274,98
9.0,1749700.0,139,1087,319
10.0,825800.0,115,805,146
