name,idx,pop,חנויות ספרים,מספרות ועיצוב שיער,ציפורניים - בנייה וטיפוח
עגר,2.0,2400.0,0,1,1
בני שמעון,5.0,9000.0,0,1,0
גבעתים,10.0,57500.0,7,92,17
בית שאן,4.0,17300.0,1,17,4
משגב,4.0,26600.0,0,0,0
כפר קאסם,7.0,21800.0,0,0,0
בית שמש,6.0,103900.0,9,16,2
ירושלים,9.0,865800.0,69,303,39
מעיליא,4.0,3200.0,0,2,0
רהט,5.0,62500.0,0,0,0
ראש פינה,3.0,2900.0,4,5,0
קצרין,3.0,6900.0,1,3,3
בית גן,4.0,11400.0,0,1,0
יבנאל,4.0,4100.0,0,0,0
באר שבע,5.0,203600.0,19,155,48
אריאל,6.0,18700.0,0,18,10
הגליל התחתון,4.0,11600.0,0,0,0
סביון,8.0,3700.0,0,3,2
נהריה,4.0,54300.0,4,33,24
עמק חפר,7.0,41500.0,0,0,0
מטה יהודה,6.0,53100.0,0,0,0
דיר אל אסד,,11700.0,0,2,0
כפר ברא,7.0,3400.0,0,0,0
גולס,4.0,6100.0,0,1,0
ראש העין,8.0,42900.0,3,36,11
מעלה עירון,5.0,14200.0,0,0,0
חורה,4.0,19400.0,0,0,0
רמת השרון,8.0,44500.0,4,9,8
קרית טבעון,5.0,17800.0,3,23,3
ערערה,6.0,24000.0,0,0,0
מודיעין עילית,6.0,64200.0,3,8,0
בנימינה גבעת עדה,6.0,14700.0,1,14,0
כסרא סמיע,4.0,8200.0,1,1,0
הר אדר,6.0,3800.0,0,0,1
בית אריה,6.0,4800.0,0,2,3
מצפה רמון,2.0,5000.0,1,1,0
בוקעאתא,2.0,6300.0,0,0,0
נתיבות,5.0,31300.0,1,20,2
מעלה אדומים,6.0,37500.0,2,22,11
מבואות החרמון,3.0,7000.0,0,0,0
ביר אל מכסור,5.0,8700.0,0,0,0
דימונה,3.0,33300.0,1,16,14
קרית אתא,6.0,55400.0,3,28,21
גדידה מכר,4.0,20100.0,0,1,0
קדומים,6.0,4300.0,0,0,0
אשכול,4.0,13100.0,0,1,0
גת,,11200.0,0,0,4
לוד,8.0,72800.0,1,43,10
שוהם,7.0,20400.0,2,19,2
קרית שמונה,3.0,23100.0,4,28,11
צפת,3.0,33400.0,3,22,2
עילוט,5.0,7600.0,0,0,0
לכיש,5.0,10600.0,0,0,0
כעביה טבאש חגאגרה,5.0,5000.0,0,1,0
בני ברק,10.0,182800.0,15,45,3
יפיע,5.0,18300.0,0,5,0
חיפה,6.0,278900.0,35,251,90
קרית עקרון,7.0,10700.0,3,8,1
מודיעין מכבים רעות,7.0,88800.0,8,58,24
מעלה יוסף,3.0,9900.0,0,0,0
עמק המעינות,4.0,12200.0,0,0,0
דיר חנא,4.0,9800.0,0,1,0
פרדס חנה כרכור,6.0,38000.0,1,45,11
קרית יערים,6.0,3900.0,0,0,0
טבריה,4.0,42600.0,2,32,14
כסיפה,4.0,19100.0,0,0,0
נחף,4.0,12200.0,0,4,0
יקנעם עילית,5.0,21400.0,2,19,8
נתניה,7.0,207900.0,17,158,66
שדרות,5.0,23100.0,1,22,4
חריש,,1000.0,0,0,0
פתח תקווה,9.0,231000.0,20,212,100
כפר סבא,8.0,96900.0,13,109,27
רינה,5.0,18400.0,0,1,0
אלקנה,7.0,3900.0,1,2,1
נס ציונה,8.0,46900.0,2,21,10
בועינה נוגידאת,4.0,9100.0,0,0,1
אשקלון,6.0,130700.0,6,79,32
קרית גת,6.0,51500.0,2,53,7
בסמה,6.0,8900.0,0,0,0
מרחבים,4.0,12900.0,0,0,0
רחובות,8.0,132600.0,12,139,41
יהוד,8.0,29200.0,5,27,4
גני תקווה,9.0,16000.0,0,3,5
עילבון,4.0,5500.0,0,0,0
כפר כנא,5.0,21300.0,3,3,0
כפר יונה,7.0,21600.0,0,22,5
בוסתן אל מרג,5.0,7400.0,0,0,0
גולן,3.0,15600.0,0,1,0
ערד,3.0,24400.0,4,9,7
אור עקיבא,6.0,17100.0,1,12,3
אליכין,6.0,3400.0,0,3,0
קרית ארבע,4.0,7100.0,1,2,0
מגדל,4.0,1800.0,0,0,0
עכו,4.0,47700.0,2,42,10
קרית מלאכי,6.0,21600.0,2,21,6
עמנואל,6.0,3200.0,0,0,0
אור יהודה,8.0,36200.0,1,45,21
בסמת טבעון,5.0,7500.0,0,2,0
רמת גן,10.0,152600.0,15,139,50
תמר,3.0,1300.0,0,0,0
סחנין,4.0,29300.0,0,5,2
סאגור,4.0,4000.0,0,0,0
עספיא,,11800.0,0,6,2
זמר,6.0,6500.0,0,0,0
הגליל העליון,3.0,17300.0,0,0,0
מגילות ים המלח,4.0,1300.0,0,0,0
ערבות הירדן,4.0,4400.0,0,0,0
ביתר עילית,6.0,49400.0,0,6,0
שלומי,4.0,6200.0,0,13,4
